W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,yearID,CyYoung
19,6,36,36,7,1,0,728,229,64,9,53,139,0.25,2.37,5,6,4,1,983,0,77,0,0,0,1983,1
21,5,33,33,7,4,0,725,204,76,18,51,213,0.231,2.83,0,5,3,0,953,0,82,7,7,0,2005,1
17,8,31,31,13,4,0,724,158,51,16,67,305,0.18,1.9,5,3,9,1,947,0,65,0,0,0,1997,1
19,7,34,34,4,1,0,723,238,86,20,37,209,0.259,3.21,1,1,8,0,975,0,94,6,6,0,2007,1
27,6,35,35,2,2,0,714,214,78,26,77,127,0.24,2.95,4,2,5,2,979,0,90,0,0,0,1990,1
16,9,33,33,3,2,0,708,164,48,11,52,232,0.195,1.83,2,12,3,2,908,0,55,8,3,0,2013,1
18,9,34,34,3,1,0,707,207,64,14,51,269,0.233,2.44,3,3,6,0,951,0,72,5,2,16,2014,1
20,6,32,32,10,1,0,706,211,75,19,38,158,0.24,2.87,1,1,1,3,931,0,79,0,0,0,1985,1
16,8,33,33,5,3,0,705,216,81,15,50,178,0.246,3.1,4,5,6,2,950,0,91,10,6,0,2006,1
20,6,33,33,5,3,0,704,169,69,11,88,271,0,2.65,0,6,7,0,961,0,78,0,0,0,1998,1
20,6,34,33,5,3,0,701,192,71,24,54,230,0.226,2.73,2,4,9,1,927,1,78,9,7,0,2012,1
19,6,34,34,1,0,0,701,186,72,24,47,245,0.216,2.77,0,4,4,1,923,0,79,6,4,0,2006,1
21,5,33,33,5,2,0,700,174,59,15,54,248,0.207,2.28,2,5,3,1,912,0,66,11,2,0,2011,1
20,8,33,33,3,2,0,696,185,64,17,51,216,0.217,2.48,0,9,2,0,911,0,68,1,3,0,2015,1
22,6,33,33,9,3,0,694,190,71,15,56,131,0.22,2.76,2,6,3,0,918,0,78,0,0,0,1990,1
20,6,33,33,4,3,0,688,202,63,13,74,157,0,2.47,2,3,2,0,934,0,67,0,0,0,1998,1
16,8,33,33,6,3,0,688,195,55,11,51,242,0.23,2.16,0,5,4,0,915,0,64,8,3,0,2009,1
23,5,35,35,1,0,0,688,182,70,24,78,182,0.218,2.75,2,2,9,1,939,0,79,9,7,0,2002,1
22,6,33,33,4,3,0,687,150,45,10,48,236,0.185,1.77,2,6,6,0,870,0,52,4,1,0,2015,1
20,6,34,34,1,1,0,684,156,66,24,54,265,0.192,2.61,0,7,9,0,881,0,70,3,3,0,2004,1
18,5,34,33,2,1,0,681,182,66,11,84,265,0.221,2.62,1,17,6,2,928,0,72,11,3,0,2008,1
15,7,32,32,4,2,0,676,168,62,10,68,261,0.206,2.48,2,11,6,0,905,0,69,12,5,0,2009,1
18,6,30,30,9,1,0,671,234,83,14,102,105,0.27,3.34,1,6,5,0,971,0,96,0,0,0,1982,1
22,3,31,31,4,2,0,670,214,63,12,34,170,0.253,2.54,1,4,5,0,891,0,68,2,3,0,2008,1
19,6,34,34,0,0,0,670,169,63,13,68,240,0.208,2.54,5,4,6,0,898,0,67,5,7,0,2007,1
21,8,33,33,2,0,0,668,215,86,26,43,157,0.254,3.48,0,2,3,1,906,0,93,9,4,0,2005,1
