W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,yearID,CyYoung
18,7,35,35,4,1,0,721,233,77,7,65,166,0.25,2.88,0,7,3,0,986,0,86,0,0,0,1997,0
14,8,33,33,9,3,0,721,207,85,23,69,150,0.23,3.18,2,5,3,1,979,0,93,0,0,0,1977,0
16,11,35,35,8,3,0,721,235,91,23,74,151,0.25,3.41,2,9,1,3,1015,0,104,0,0,0,1987,0
14,17,36,36,8,4,0,721,255,112,14,90,142,0.27,4.19,8,4,8,5,1042,0,112,0,0,0,1976,0
11,13,33,33,9,1,0,720,236,102,24,104,129,0.25,3.83,14,2,5,3,1041,0,111,0,0,0,1974,0
14,7,33,33,5,2,0,720,197,79,20,79,152,0.22,2.96,9,3,4,0,970,0,86,0,0,0,1997,0
17,11,33,33,5,2,0,720,254,100,22,73,165,0.273,3.75,3,3,4,0,1030,0,114,12,9,0,2000,0
16,7,34,34,3,2,0,720,197,72,15,61,162,0.223,2.7,9,6,10,0,967,0,84,11,2,0,2003,0
19,9,35,35,3,1,0,720,219,92,20,63,269,0.243,3.45,5,8,6,4,982,0,99,6,4,0,2009,0
15,8,33,33,12,5,0,720,226,76,16,68,136,0.24,2.85,8,4,2,0,996,0,81,0,0,0,1971,0
22,7,35,35,8,1,0,720,209,86,19,106,137,0.24,3.23,1,7,8,0,997,0,92,0,0,0,1983,0
9,15,35,34,7,1,0,720,239,100,20,72,127,0.26,3.75,5,3,7,1,1002,1,110,0,0,0,1970,0
16,8,34,34,6,1,0,720,203,68,14,79,123,0.23,2.55,10,11,3,0,966,0,80,0,0,0,1992,0
15,17,36,35,11,0,0,720,248,113,25,77,77,0.26,4.24,1,1,5,0,1026,0,137,0,0,0,1979,0
15,16,34,34,15,3,0,720,211,75,21,95,120,0.23,2.81,5,7,8,0,1006,0,92,0,0,0,1976,0
19,3,36,34,9,5,0,719,179,54,8,68,157,0.2,2.03,5,5,6,0,953,1,72,0,0,0,1985,0
14,17,42,34,9,2,0,719,248,98,12,73,134,0.27,3.68,7,9,4,1,1013,1,107,0,0,0,1973,0
19,15,39,32,14,2,0,719,248,94,17,48,124,0.26,3.53,3,4,2,0,995,2,104,0,0,0,1982,0
13,9,44,27,11,5,2,719,223,73,17,47,84,0.25,2.74,10,3,2,4,959,5,81,0,0,0,1974,0
14,13,36,34,11,4,2,719,234,91,19,98,173,0.26,3.42,6,7,4,7,1018,2,106,0,0,0,1975,0
20,10,35,35,4,1,0,719,238,103,28,48,174,0.25,3.87,1,1,3,1,989,0,114,0,0,0,1997,0
22,6,36,36,4,2,0,718,236,85,16,90,120,0.25,3.2,7,4,2,0,1014,0,91,0,0,0,1993,0
19,7,34,34,2,1,0,718,223,78,10,62,168,0.244,2.93,6,4,7,1,993,0,93,9,2,0,2002,0
12,14,37,36,9,0,0,718,234,129,30,123,245,0.25,4.85,1,10,4,3,1057,1,142,0,0,0,1986,0
15,9,34,34,7,1,0,718,232,92,28,27,113,0.25,3.46,3,2,1,1,953,0,96,0,0,0,1976,0
16,10,32,32,6,2,0,718,162,85,17,98,301,0.18,3.2,3,19,9,1,988,0,96,0,0,0,1989,0
12,17,34,33,11,2,0,718,230,80,22,51,135,0.25,3.01,4,5,6,0,974,1,88,0,0,0,1972,0
16,11,32,32,12,2,0,718,228,95,19,75,104,0.25,3.57,1,3,3,0,999,0,102,0,0,0,1977,0
16,10,36,33,12,2,1,718,226,95,17,77,107,0.25,3.57,4,5,5,0,1001,2,108,0,0,0,1979,0
11,16,37,32,10,3,2,718,187,85,21,92,149,0.21,3.2,6,7,7,1,988,4,94,0,0,0,1973,0
19,12,34,34,5,2,0,717,236,95,25,61,134,0.26,3.58,7,6,3,1,984,0,102,9,3,0,2002,0
14,12,31,31,12,8,0,717,201,57,11,56,155,0.23,2.15,10,4,12,0,954,0,68,0,0,0,1968,0
17,10,32,32,9,4,0,717,234,74,22,35,208,0.256,2.79,0,2,5,0,963,0,82,1,9,0,2009,0
18,12,36,36,5,1,0,717,251,96,16,75,125,0.27,3.62,8,5,10,0,1021,0,104,0,0,0,1979,0
18,12,33,33,10,4,0,717,239,97,26,60,137,0.25,3.65,7,5,9,8,1014,0,108,0,0,0,1978,0
18,14,36,35,6,1,0,717,233,96,22,81,103,0.25,3.62,2,8,13,3,1023,0,106,0,0,0,1977,0
15,13,35,34,9,2,0,717,231,104,21,97,146,0.25,3.92,11,5,4,1,1028,0,110,0,0,0,1975,0
16,10,35,35,4,1,0,717,227,97,20,44,204,0.23,3.65,3,5,8,1,981,0,103,0,0,0,1996,0
22,4,34,34,3,2,0,717,206,77,12,101,177,0,2.9,2,9,5,0,979,0,86,0,0,0,1999,0
22,4,34,34,3,2,0,717,206,77,12,101,177,0,2.9,2,9,5,0,979,0,86,0,0,0,1999,0
22,4,34,34,3,2,0,717,206,77,12,101,177,0,2.9,2,9,5,0,979,0,86,0,0,0,1999,0
19,5,34,34,2,1,0,716,200,66,15,71,217,0.227,2.49,0,17,8,1,977,0,81,6,11,0,2009,0
11,9,36,36,3,0,0,716,233,101,25,68,177,0.25,3.81,6,4,4,3,1003,0,110,0,0,0,1978,0
16,8,34,34,7,1,0,716,215,84,19,67,138,0,3.17,0,5,7,2,970,0,96,0,0,0,1998,0
16,11,35,33,6,1,0,716,223,84,22,69,134,0.24,3.17,6,10,8,0,993,0,103,0,0,0,1985,0
18,8,34,34,5,1,0,716,183,68,8,81,186,0.21,2.56,3,5,1,0,953,0,74,0,0,0,1993,0
15,11,35,35,4,1,0,716,262,104,28,68,113,0.25,3.92,4,7,6,0,1021,0,117,0,0,0,1996,0
18,6,34,34,4,3,0,716,199,81,16,69,163,0.225,3.05,6,3,5,1,971,0,88,8,5,0,2001,0
15,13,33,33,15,3,0,716,239,117,35,76,190,0.26,4.41,5,3,1,1,1001,0,124,0,0,0,1987,0
12,14,34,34,9,2,0,716,197,83,21,116,175,0.22,3.13,11,8,2,0,1004,0,87,0,0,0,1972,0
15,13,34,34,8,0,0,716,190,89,24,81,109,0.21,3.36,9,6,3,0,962,0,98,0,0,0,1985,0
15,9,34,34,4,2,0,715,237,79,19,62,152,0.263,2.98,9,7,8,1,983,0,87,6,5,0,2002,0
19,12,35,35,7,1,0,715,222,78,13,82,135,0.24,2.95,13,5,6,3,1002,0,90,0,0,0,1989,0
12,16,38,34,11,1,1,715,207,86,21,52,181,0.23,3.25,1,1,7,1,968,4,102,0,0,0,1968,0
15,11,34,34,12,2,0,715,228,94,29,54,154,0.25,3.55,7,6,5,0,990,0,109,0,0,0,1978,0
15,10,36,35,8,2,0,715,259,109,25,73,108,0.28,4.12,6,2,4,2,1020,1,121,0,0,0,1975,0
16,15,37,37,7,1,0,715,246,112,18,105,174,0.27,4.23,7,9,6,0,1037,0,125,0,0,0,1973,0
16,10,35,34,4,3,0,715,211,84,20,33,192,0.235,3.17,1,6,5,0,953,1,91,12,5,0,2011,0
14,14,34,33,13,2,1,715,246,100,19,79,124,0.26,3.78,1,5,3,1,1010,1,111,0,0,0,1983,0
14,9,33,33,6,3,0,715,216,72,13,62,136,0.24,2.72,0,10,1,4,961,0,81,0,0,0,1984,0
19,6,35,34,6,1,0,715,210,88,20,88,144,0.23,3.32,3,5,6,3,985,1,95,0,0,0,1980,0
17,8,33,33,6,1,0,715,192,70,19,60,239,0.217,2.64,2,2,5,1,956,0,81,4,3,0,2012,0
15,16,35,35,4,1,0,714,241,110,27,94,215,0.23,4.16,5,17,11,2,1037,0,124,0,0,0,1996,0
15,12,34,34,13,4,0,714,239,89,21,56,177,0.26,3.37,4,3,5,0,986,0,108,0,0,0,1977,0
13,12,35,35,6,1,0,714,214,91,13,89,121,0.24,3.44,4,12,7,2,999,0,99,0,0,0,1992,0
15,13,34,32,11,1,0,714,213,75,17,63,133,0.24,2.84,2,1,4,4,970,1,83,0,0,0,1980,0
9,16,33,33,7,0,0,714,241,92,21,31,169,0.26,3.48,1,3,3,1,971,0,112,0,0,0,1991,0
15,8,35,35,8,4,0,714,205,86,19,87,199,0.23,3.25,7,9,3,4,1002,0,99,0,0,0,1983,0
27,6,35,35,2,2,0,714,214,78,26,77,127,0.24,2.95,4,2,5,2,979,0,90,0,0,0,1990,0
27,6,35,35,2,2,0,714,214,78,26,77,127,0.24,2.95,4,2,5,2,979,0,90,0,0,0,1990,0
9,18,34,34,7,2,0,713,242,100,18,60,157,0.26,3.79,12,12,3,0,991,0,108,0,0,0,1993,0
11,15,34,34,6,1,0,713,236,100,28,46,210,0.255,3.79,0,3,3,0,987,0,105,8,6,0,2000,0
21,7,34,34,2,0,0,713,209,84,20,74,197,0.239,3.18,6,8,7,1,970,0,92,5,8,0,2010,0
17,9,33,33,8,3,0,713,223,71,17,68,108,0.24,2.69,3,4,2,3,983,0,86,0,0,0,1985,0
14,18,39,39,7,1,0,713,283,129,25,95,137,0.3,4.88,10,5,3,1,1056,0,139,0,0,0,1986,0
16,8,33,33,6,2,0,712,214,71,10,66,205,0.24,2.69,7,7,14,1,976,0,77,0,0,0,1997,0
11,9,34,34,4,2,0,712,243,91,16,55,191,0.264,3.45,5,3,6,1,996,0,98,11,3,0,2011,0
19,8,33,33,3,1,0,712,230,79,17,61,230,0.255,3,4,2,7,1,985,0,87,8,7,0,2011,0
16,15,36,36,5,2,0,712,251,118,20,74,109,0.27,4.47,4,7,7,2,1018,0,123,0,0,0,1992,0
12,5,37,37,4,0,0,712,238,95,21,92,172,0.26,3.6,8,9,6,0,1018,0,102,0,0,0,1979,0
11,16,32,31,15,2,0,712,265,111,33,49,79,0.28,4.21,1,4,2,0,1006,1,121,0,0,0,1982,0
16,12,31,31,8,3,0,712,212,71,12,89,142,0.24,2.69,14,6,2,0,988,0,80,0,0,0,1974,0
18,11,32,32,15,6,0,712,224,67,10,78,131,0.25,2.54,8,4,0,1,984,0,73,0,0,0,1975,0
18,7,33,33,13,0,0,712,181,93,26,87,185,0.2,3.53,6,3,5,0,971,0,102,0,0,0,1984,0
14,15,39,34,10,3,0,712,200,73,21,70,123,0.23,2.77,13,3,6,1,968,2,83,0,0,0,1972,0
18,10,34,34,6,1,0,712,223,97,24,106,174,0.25,3.68,14,9,4,4,1012,0,106,0,0,0,1987,0
18,10,34,34,6,1,0,712,223,97,24,106,174,0.25,3.68,14,9,4,4,1012,0,106,0,0,0,1987,0
15,15,35,35,8,2,0,711,242,91,11,71,144,0.26,3.46,10,3,4,3,1011,0,116,0,0,0,1990,0
14,14,34,34,10,0,0,711,246,132,23,111,138,0.27,5.01,11,8,1,0,1041,0,143,0,0,0,1979,0
15,6,34,34,4,2,0,711,203,74,21,81,184,0.23,2.81,2,7,3,3,967,0,84,0,0,0,1986,0
20,10,36,35,2,2,0,711,233,92,17,62,206,0.26,3.49,5,5,11,1,983,0,100,11,4,0,2004,0
14,15,36,36,7,3,0,711,244,79,15,62,168,0.26,3,6,10,5,1,1003,0,95,0,0,0,1973,0
17,11,34,34,12,1,0,711,221,96,24,82,82,0.24,3.65,2,3,2,0,995,0,103,0,0,0,1977,0
12,14,34,34,5,0,0,711,201,71,25,32,264,0.226,2.7,1,8,4,1,937,0,85,6,4,0,2004,0
16,8,33,33,3,1,0,710,240,82,20,40,149,0.262,3.12,4,2,4,2,971,0,99,7,4,0,2005,0
15,11,34,33,10,4,0,710,216,104,27,61,131,0.24,3.95,3,5,2,0,978,1,108,0,0,0,1984,0
12,16,35,35,7,1,0,710,245,98,29,71,113,0.27,3.73,9,2,5,0,993,0,110,0,0,0,1971,0
12,14,34,34,6,0,0,710,231,94,25,61,155,0.25,3.57,2,11,4,3,990,0,101,0,0,0,1982,0
15,12,35,35,4,1,0,710,244,103,25,72,158,0.24,3.92,5,10,10,0,1007,0,116,0,0,0,1996,0
16,11,33,33,12,3,0,710,227,87,20,61,86,0.25,3.31,2,7,2,0,961,0,97,0,0,0,1973,0
18,6,34,34,4,2,0,710,219,79,26,43,173,0.24,3,1,3,1,0,948,0,84,0,0,0,1993,0
18,8,33,30,15,2,2,709,203,73,20,71,201,0.23,2.78,0,9,0,0,946,3,83,0,0,0,1979,0
13,15,37,37,10,1,0,709,201,101,21,123,236,0.23,3.85,3,18,7,0,1014,0,112,0,0,0,1967,0
18,10,34,34,4,3,0,709,209,79,12,72,194,0.237,3.01,6,3,5,0,975,0,91,9,6,0,2007,0
22,10,34,34,7,5,0,709,213,69,11,55,170,0.243,2.63,3,2,8,1,960,0,79,14,5,0,2005,0
16,9,32,32,11,4,0,709,210,63,11,44,58,0.23,2.4,6,1,10,0,956,0,79,0,0,0,1972,0
14,10,34,33,5,1,1,709,197,73,12,61,140,0.22,2.78,10,6,3,0,949,1,85,0,0,0,1991,0
17,11,31,31,12,2,0,709,185,57,15,93,210,0.21,2.17,6,7,4,0,968,0,66,0,0,0,1969,0
15,11,36,35,11,1,0,708,233,104,24,76,103,0.25,3.97,5,9,4,2,991,1,110,0,0,0,1982,0
15,6,34,34,0,0,0,708,170,56,16,46,248,0.2,2.14,1,18,5,0,912,0,68,4,5,12,2014,0
19,10,32,32,10,3,0,708,196,71,17,61,104,0.22,2.71,4,3,0,0,942,0,74,0,0,0,1978,0
14,12,32,32,12,5,0,708,226,107,33,56,126,0.25,4.08,3,8,2,0,966,0,117,0,0,0,1979,0
11,11,32,32,12,5,0,708,199,84,19,75,201,0.23,3.2,10,4,3,2,956,0,89,0,0,0,1974,0
18,9,33,33,5,1,0,708,205,85,15,68,211,0.23,3.24,6,10,2,1,964,0,88,0,0,0,1990,0
18,9,32,32,7,2,0,708,210,63,17,81,177,0.24,2.4,3,9,2,0,962,0,77,0,0,0,1990,0
13,18,34,34,11,1,0,707,244,117,31,43,126,0.26,4.47,3,0,5,0,975,0,127,0,0,0,1984,0
16,11,36,36,9,3,0,707,199,88,19,81,176,0.22,3.36,5,5,5,1,965,0,94,0,0,0,1982,0
7,13,33,33,7,3,0,707,227,86,14,55,183,0.25,3.28,6,2,7,1,981,0,95,0,0,0,1986,0
9,13,34,34,4,1,0,707,215,89,24,74,196,0.24,3.4,2,14,4,1,972,0,96,0,0,0,1997,0
13,16,36,35,7,2,0,707,237,99,20,77,121,0.26,3.78,10,9,5,0,1001,0,105,0,0,0,1969,0
11,19,42,36,8,5,0,707,233,115,26,123,185,0.26,4.39,4,11,12,1,1046,3,133,0,0,0,1969,0
18,8,33,33,4,2,0,707,182,63,20,56,198,0.212,2.41,0,8,3,0,926,0,65,5,5,0,2011,0
20,6,32,32,10,1,0,706,211,75,19,38,158,0.24,2.87,1,1,1,3,931,0,79,0,0,0,1985,0
15,13,35,35,11,1,0,706,244,101,16,80,137,0.27,3.86,2,9,1,1,998,0,111,0,0,0,1969,0
3,15,38,32,3,0,2,706,221,98,17,84,160,0.25,3.75,11,5,8,1,986,6,110,0,0,0,1978,0
15,13,34,34,9,2,0,706,215,71,21,55,120,0.23,2.72,3,5,6,10,968,0,94,0,0,0,1988,0
16,10,32,32,12,4,0,706,220,76,20,60,131,0.24,2.91,5,4,3,0,975,0,84,0,0,0,1971,0
15,14,34,34,16,2,0,706,250,104,30,42,63,0.27,3.98,3,3,4,0,967,0,113,0,0,0,1979,0
16,7,34,34,7,2,0,706,234,105,23,57,186,0.25,4.02,6,9,4,3,982,0,114,0,0,0,1993,0
15,10,36,36,1,0,0,706,222,78,14,85,181,0.22,2.98,7,4,0,0,994,0,91,0,0,0,1996,0
20,6,32,32,10,1,0,706,211,75,19,38,158,0.24,2.87,1,1,1,3,931,0,79,0,0,0,1985,0
20,6,32,32,10,1,0,706,211,75,19,38,158,0.24,2.87,1,1,1,3,931,0,79,0,0,0,1985,0
16,9,35,35,1,0,0,705,214,84,21,63,179,0.244,3.22,4,3,13,0,969,0,99,9,7,0,2010,0
15,10,36,33,15,2,1,705,235,95,17,70,149,0.26,3.64,5,5,2,0,974,2,100,0,0,0,1977,0
18,9,35,35,3,0,0,705,216,88,20,71,181,0.245,3.37,5,9,6,1,980,0,100,12,8,0,2001,0
17,16,37,37,10,3,0,705,209,99,35,73,161,0.23,3.79,3,4,3,0,976,0,110,0,0,0,1967,0
15,13,34,34,10,2,0,705,225,103,20,83,168,0.25,3.94,7,11,4,11,997,0,115,0,0,0,1988,0
16,6,30,30,16,4,0,705,252,86,18,39,89,0.27,3.29,2,5,4,0,967,0,96,0,0,0,1979,0
14,9,34,32,11,3,0,705,217,77,20,74,145,0.24,2.95,6,7,3,1,991,2,84,0,0,0,1973,0
15,14,35,35,5,2,0,704,245,80,16,62,142,0.27,3.07,6,5,3,0,977,0,92,0,0,0,1991,0
11,13,34,34,9,0,0,704,287,113,20,49,65,0.3,4.33,5,11,2,0,1010,0,126,0,0,0,1983,0
10,10,35,34,8,1,1,704,265,96,17,48,142,0.28,3.68,1,9,0,0,985,1,111,0,0,0,1980,0
10,13,31,31,14,3,0,704,183,97,12,148,260,0.22,3.72,7,13,3,2,1008,0,106,0,0,0,1978,0
14,12,30,30,15,5,0,704,181,71,20,69,182,0.21,2.72,1,8,7,0,935,0,81,0,0,0,1977,0
15,10,33,33,8,2,0,704,225,77,16,48,173,0.24,2.95,1,4,6,2,969,0,90,0,0,0,1989,0
18,9,34,33,9,3,0,704,219,76,5,72,127,0.25,2.91,7,14,6,5,971,1,81,0,0,0,1989,0
16,11,32,32,13,1,0,704,201,85,22,53,144,0.23,3.26,5,4,6,5,936,0,86,0,0,0,1988,0
20,6,33,33,5,3,0,704,169,69,11,88,271,0,2.65,0,6,7,0,961,0,78,0,0,0,1998,0
20,6,33,33,5,3,0,704,169,69,11,88,271,0,2.65,0,6,7,0,961,0,78,0,0,0,1998,0
17,4,35,35,4,2,0,703,225,94,23,73,144,0.25,3.61,1,4,3,1,969,0,106,0,0,0,1982,0
10,12,33,33,9,0,0,703,265,123,37,104,162,0,4.72,8,4,6,3,1040,0,133,0,0,0,1998,0
15,9,34,34,4,3,0,703,234,92,23,42,158,0,3.53,2,3,10,1,974,0,99,0,0,0,1998,0
16,7,34,34,3,2,0,703,206,66,23,63,206,0.232,2.53,5,9,4,2,964,0,74,9,1,0,2008,0
12,16,38,38,6,2,0,703,286,124,18,56,97,0.3,4.76,4,2,3,2,1011,0,130,0,0,0,1977,0
16,9,35,35,2,1,0,703,226,94,21,84,189,0.24,3.61,6,13,3,2,1010,0,108,0,0,0,1997,0
16,11,36,35,6,2,0,703,242,98,28,56,216,0.269,3.76,8,6,8,1,993,0,109,21,8,0,2006,0
20,6,33,33,12,3,0,703,191,76,22,67,223,0.22,2.92,5,3,4,3,950,0,89,0,0,0,1990,0
14,11,33,33,11,2,0,702,200,77,13,74,103,0.23,2.96,4,8,6,4,936,0,81,0,0,0,1978,0
14,11,35,35,2,0,0,702,259,107,18,83,138,0,4.12,14,2,4,0,1023,0,115,0,0,0,1999,0
13,13,36,34,11,2,1,702,210,87,29,69,172,0.23,3.35,10,0,4,1,968,2,99,0,0,0,1968,0
11,17,38,37,6,0,1,702,244,97,17,67,155,0.26,3.73,8,4,7,1,1007,1,116,0,0,0,1975,0
14,14,34,34,2,0,0,702,247,111,37,73,130,0,4.27,0,6,7,1,1003,0,127,0,0,0,1998,0
15,12,34,34,10,2,0,702,237,102,18,73,114,0.26,3.92,3,10,6,0,1002,0,117,0,0,0,1991,0
15,11,36,35,2,1,0,702,183,91,23,91,218,0.216,3.5,1,3,20,3,981,0,98,16,7,0,2001,0
20,12,35,35,12,1,0,702,248,106,21,53,136,0.27,4.08,12,4,1,0,984,0,114,0,0,0,1970,0
11,11,35,35,2,2,0,701,216,83,14,71,129,0.24,3.2,3,7,0,3,969,0,95,0,0,0,1992,0
11,17,34,34,7,3,0,701,205,96,15,97,114,0.23,3.7,9,8,5,3,981,0,110,0,0,0,1978,0
19,6,32,32,8,1,0,701,208,61,10,35,220,0.239,2.35,4,2,4,1,933,0,65,15,7,0,2011,0
14,14,33,33,5,0,0,701,218,90,19,67,222,0.248,3.47,0,12,7,1,964,0,99,3,7,0,2011,0
11,10,35,35,4,2,0,701,205,87,10,98,200,0.23,3.35,1,10,3,1,982,0,100,0,0,0,1980,0
12,15,32,32,10,1,0,701,206,86,14,89,161,0.24,3.31,12,20,8,0,981,0,95,0,0,0,1968,0
13,12,35,35,6,3,0,701,192,89,24,81,154,0.22,3.43,5,9,5,0,962,0,94,0,0,0,1969,0
13,12,39,33,7,1,0,701,226,116,29,73,85,0.25,4.47,4,5,7,1,991,1,137,0,0,0,1979,0
15,10,35,34,11,3,0,701,223,83,26,55,140,0.25,3.2,5,2,1,0,954,0,93,0,0,0,1984,0
17,13,34,34,4,2,0,701,205,82,25,64,123,0.235,3.16,2,11,5,0,957,0,87,8,8,0,2001,0
17,11,35,34,11,2,0,701,235,107,27,85,92,0.26,4.12,1,10,8,1,1003,0,117,0,0,0,1978,0
19,6,34,34,1,0,0,701,186,72,24,47,245,0.216,2.77,0,4,4,1,923,0,79,6,4,0,2006,0
19,7,33,33,3,2,0,701,188,75,26,67,251,0,2.89,3,9,8,0,951,0,82,0,0,0,1998,0
20,6,34,33,5,3,0,701,192,71,24,54,230,0.226,2.73,2,4,9,1,927,1,78,9,7,0,2012,0
19,6,34,34,1,0,0,701,186,72,24,47,245,0.216,2.77,0,4,4,1,923,0,79,6,4,0,2006,0
21,5,33,33,5,2,0,700,174,59,15,54,248,0.207,2.28,2,5,3,1,912,0,66,11,2,0,2011,0
15,10,33,33,8,0,0,700,225,83,27,57,178,0.253,3.2,3,6,10,1,967,0,92,6,4,0,2003,0
16,8,33,33,3,1,0,700,229,96,34,32,169,0,3.7,1,4,7,0,950,0,100,0,0,0,1998,0
11,14,35,34,7,0,1,700,246,104,14,50,97,0.27,4.01,4,0,3,2,969,1,114,0,0,0,1980,0
14,12,37,29,11,0,0,700,204,88,20,71,161,0.23,3.39,9,7,6,0,957,2,91,0,0,0,1970,0
18,8,35,35,7,2,0,700,231,84,21,66,144,0.25,3.24,4,7,3,0,968,0,94,0,0,0,1984,0
19,8,35,35,3,1,0,700,257,91,25,53,209,0,3.51,2,5,2,0,986,0,99,0,0,0,1998,0
21,5,33,33,5,2,0,700,174,59,15,54,248,0.207,2.28,2,5,3,1,912,0,66,11,2,0,2011,0
20,5,34,34,4,4,0,700,204,77,18,49,172,0.23,2.97,5,3,6,0,947,0,87,0,0,0,1997,0
21,5,33,33,5,2,0,700,174,59,15,54,248,0.207,2.28,2,5,3,1,912,0,66,11,2,0,2011,0
17,11,34,34,3,3,0,699,220,79,20,27,173,0.253,3.05,10,2,7,0,927,0,86,12,11,0,2001,0
19,8,34,34,1,0,0,699,216,68,17,66,212,0.244,2.63,1,7,3,0,970,0,75,10,5,0,2009,0
15,12,34,34,12,3,0,699,228,93,14,74,142,0.25,3.59,5,8,15,1,1001,0,105,0,0,0,1993,0
17,11,32,32,5,3,0,699,187,49,8,33,159,0.2,1.89,2,6,16,1,906,0,60,0,0,0,1996,0
15,9,36,34,6,2,1,699,238,90,16,54,69,0.26,3.48,7,6,4,2,962,1,95,0,0,0,1982,0
19,9,35,34,0,0,0,699,215,78,17,62,208,0.247,3.01,4,3,5,0,956,0,86,12,7,0,2002,0
15,10,34,32,9,0,0,699,229,93,22,64,145,0.26,3.59,4,7,3,3,968,0,108,0,0,0,1979,0
15,13,35,32,13,4,1,699,217,86,19,47,94,0.24,3.32,3,3,1,3,936,2,98,0,0,0,1978,0
11,17,34,34,11,3,0,699,223,90,24,63,120,0.25,3.48,7,2,5,2,962,0,103,0,0,0,1977,0
12,11,35,35,5,2,0,699,212,80,27,87,141,0.24,3.09,7,4,5,0,977,0,95,0,0,0,1985,0
16,5,33,32,5,0,0,699,217,56,15,20,91,0.24,2.16,0,2,3,0,915,1,63,0,0,0,1992,0
19,4,33,33,5,2,0,698,200,57,9,20,177,0.23,2.2,6,0,6,0,893,0,58,0,0,0,1997,0
14,11,36,35,6,2,0,698,227,86,23,75,116,0.25,3.33,4,3,2,0,977,0,100,0,0,0,1970,0
14,14,34,34,5,2,0,698,204,85,13,73,241,0.23,3.29,2,17,5,1,966,0,95,0,0,0,1991,0
19,7,34,34,2,1,0,698,229,99,10,70,223,0.25,3.83,3,6,7,3,983,0,106,0,0,0,1990,0
16,7,33,33,4,3,0,698,163,55,15,42,301,0.194,2.13,1,9,5,3,890,0,62,4,0,0,2015,0
17,8,32,32,6,6,0,698,197,62,18,42,238,0.229,2.4,0,0,6,0,920,0,66,6,4,0,2011,0
12,11,32,32,10,0,0,698,225,79,12,67,140,0.25,3.06,10,6,4,0,963,0,90,0,0,0,1979,0
11,15,37,34,11,3,1,698,223,102,18,57,169,0.25,3.95,9,3,6,0,962,2,106,0,0,0,1967,0
14,18,38,35,13,5,0,698,273,114,17,66,96,0.3,4.41,3,3,2,1,993,0,138,0,0,0,1980,0
16,9,34,34,4,2,0,698,192,81,20,87,150,0.22,3.13,4,8,4,3,962,0,82,0,0,0,1982,0
21,8,34,34,1,1,0,698,195,73,18,55,157,0.22,2.82,5,4,6,0,928,0,82,0,0,0,1993,0
9,11,33,33,6,2,0,697,230,84,16,90,128,0.26,3.25,10,15,1,1,984,0,91,0,0,0,1969,0
20,7,38,25,14,4,1,697,224,69,10,64,113,0.25,2.67,9,5,6,1,976,9,81,0,0,0,1976,0
20,9,34,34,5,1,0,697,215,101,33,58,192,0.247,3.91,1,8,13,1,960,0,109,11,8,0,2000,0
20,6,34,34,5,1,0,697,226,98,25,41,148,0.255,3.8,4,4,7,1,958,0,104,13,9,0,2001,0
20,8,33,33,3,2,0,696,185,64,17,51,216,0.217,2.48,0,9,2,0,911,0,68,1,3,0,2015,0
13,9,33,33,5,5,0,696,209,79,14,56,223,0.241,3.06,0,13,12,2,939,0,84,2,2,0,2012,0
14,11,36,35,4,2,0,696,222,92,24,74,141,0.25,3.57,1,3,3,0,959,0,98,0,0,0,1986,0
10,12,35,35,4,0,0,696,205,98,12,95,209,0.23,3.8,8,14,9,2,983,0,108,0,0,0,1985,0
16,9,35,35,3,1,0,696,221,90,23,55,211,0.251,3.49,4,5,9,0,960,0,93,4,10,0,2006,0
17,11,34,34,7,0,0,696,258,130,38,75,210,0,5.04,6,5,11,0,1008,0,140,0,0,0,1999,0
14,16,34,34,14,2,0,696,225,103,24,91,127,0.26,4,6,13,7,1,982,0,109,0,0,0,1975,0
16,7,34,33,5,2,0,696,227,82,21,49,142,0.25,3.18,4,5,7,2,950,1,88,0,0,0,1989,0
16,13,34,34,8,3,0,696,231,93,15,49,142,0.26,3.61,2,3,3,0,956,0,100,0,0,0,1991,0
11,16,35,35,3,0,0,696,231,115,40,57,148,0.23,4.46,2,1,4,0,973,0,125,0,0,0,1996,0
14,9,35,33,8,1,0,696,244,94,22,64,116,0.271,3.65,1,8,6,2,982,2,110,4,9,0,2001,0
9,20,38,32,15,0,0,696,264,114,22,54,64,0.28,4.42,4,6,0,0,996,2,122,0,0,0,1974,0
13,11,34,33,10,5,0,695,214,77,11,61,162,0.24,2.99,4,6,3,0,954,1,87,0,0,0,1968,0
16,7,33,33,3,2,0,695,180,74,22,45,238,0.21,2.87,1,8,1,0,910,0,77,6,2,0,2005,0
17,10,34,34,7,1,0,695,246,124,32,62,169,0,4.82,2,1,6,0,987,0,132,0,0,0,1999,0
14,12,35,35,4,1,0,695,186,85,19,88,146,0.219,3.3,3,4,6,0,957,0,98,7,7,0,2003,0
14,11,35,35,7,1,0,695,227,108,20,74,114,0.25,4.2,5,3,4,0,981,0,120,0,0,0,1980,0
22,7,34,34,2,1,0,695,224,94,18,40,145,0.25,3.65,4,1,11,2,942,0,100,0,0,0,1993,0
15,11,34,34,5,1,0,695,217,85,20,55,222,0.22,3.3,3,5,3,2,967,0,95,0,0,0,1996,0
